"ISO3","Country.Name","ready_2017","E_cap_2017","G_2019","Arable_2017","FWPC_2017","adjusted_higher_ed_rank","adjusted_health_risk","adjusted_cost_of_living","readiness_rank","vulnerability_rank","composite_score"
"AUT","Austria",0.700085537,0.585512283,0.799249428,0.15105769,0.0799788386575266,0.794117647058824,0.381171474,0.144338448776441,63.9476344204706,11.6078159580767,52.3398184623939
"BEL","Belgium",0.602281953,0.504632361,0.744578173,0.073493485,0.013327240074996,0.764705882352941,0.381779786,0.0792202405640812,58.3812313178235,8.43977102725657,49.941460290567
"CAN","Canada",0.666556511,0.603957443,0.820527235,1.053733456,1,0.970588235294118,0.356335437,0.178349232683534,68.5471113673529,35.6105511366707,32.9365602306823
"EST","Estonia",0.621578254,0.668985549,0.761353575,0.5192108,0.123536570384813,0.382352941176471,0.351396426,0.864371630029033,52.8812318144118,30.9140948055832,21.9671370088285
"FIN","Finland",0.754759863,0.670152553,0.856820504,0.407028485,0.248939618224435,0.808823529411765,0.385385993,0.0547490667772705,68.4257081472941,15.4033565724631,53.022351574831
"FRA","France",0.657428222,0.570406053,0.732634579,0.275925184,0.0381292279750472,0.955882352941177,0.366756618,0.0161758606387391,65.3043396405294,9.90757383845039,55.396765802079
"DEU","Germany",0.700105478,0.596307078,0.802087811,0.142419876,0.0163999218088469,0.985294117647059,0.38200872,0.370800497718789,69.0086237141765,15.2107981258908,53.7978255882857
"GRC","Greece",0.509324103,0.444920611,0.552901137,0.198797193,0.0689652176900721,0.61764705882353,0.33109929,0.759021153048527,47.2427969015882,23.6278237499415,23.6149731516468
"ITA","Italy",0.506028939,0.411304387,0.599322261,0.111275788,0.0384622826343,0.823529411764706,0.355352299,0.333886354209871,52.7193138171176,13.9546064874433,38.7647073296743
"LBN","Lebanon",0.313821348,0.325594362,0.306038557,0.019356618,0.00882480124583324,0,0,0.203235172127747,19.827201011,4.43106189275078,15.3961391182492
"NZL","New Zealand",0.794556534,0.749314385,0.878252736,0.102002659,0.87106654359426,0.86764705882353,0.372337055,0,72.7684077785882,18.2349554587254,54.5334523198629
"PAN","Panama",0.394496683,0.402551851,0.497346193,0.137577908,0.426401905997681,0.147058823529412,0.112398985,0.957693902944836,31.0564037072353,28.1716004158666,2.88480329136872
"QAT","Qatar",0.498519195,0.629793635,0.653425112,0.005138129,6.08153799310579e-05,0.426470588235294,0.119267319,0.485690584819577,48.2567988818824,11.5704077583306,36.6863911235517
"SAU","Saudi Arabia",0.505671462,0.610561209,0.507838977,0.103833147,0.000727132007299503,0.514705882352941,0.235960877,1,46.8725969498235,24.8986967820949,21.9739001677286
"SVN","Slovenia",0.613508103,0.542430353,0.6963149,0.089044265,0.11567685330252,0.25,0.357583104,0.856076316880962,45.38401182,25.146647435552,20.237364384448
"ESP","Spain",0.546071076,0.52583295,0.655440482,0.262994547,0.0304067433193244,0.779411764705882,0.349859858,0.856076316880962,55.9985057236471,26.1836409817705,29.8148647418766
"SWE","Sweden",0.740207843,0.677187,0.852917801,0.25492911,0.217855301444421,0.897058823529412,0.375375919,0.115304852758192,70.3914768712353,14.0829331889413,56.308543682294
"ARE","United Arab Emirates",0.575633583,0.708793382,0.687861687,0.004690527,0,0.63235294117647,0.25733369,0.671505599336375,57.3181816304118,17.3510941877275,39.9670874426843
"GBR","United Kingdom",0.699025126,0.687301042,0.786847985,0.09208272,0.0279493711720277,1,0.371629417,0.201990875155537,70.824027015,11.1746759433471,59.6493510716529
"URY","Uruguay",0.49447799,0.436913661,0.677033674,0.58356333,0.343886321163918,0.205882352941177,0.159854038,0.931148900871008,39.3466663455294,33.0776340525511,6.26903229297832
